imaiva,left meaning,right meaning,verb hint,notes,relateds,opposites
tai,free/unrestrained,obstacle/limit,transcend/overcome,,,
ta,up/sky/air/space/heaven/high/tall,weather/celestial body/that which is up high,hold/has,,,
tana,down/ground,grounded/planted,,,,
tadai,vertical/standing,spire/tower/post/lighthouse/beacon,,,,
tandai,horizontal/flat/prone,surface/blanket/plaza/table,,,,
tati,clear sky,calm weather,,,,
taku,cloud,cloudy,,,,
takuni,storm,precipitation/rain/snow/sleet,,,,
targi,wind,windy,,,,
targai,windstorm,very windy,,,,
tu,previous/older/before,next/newer/after,is before/precede,laitu = before/after,,
tuzai,oldest,youngest,,,,
tuma,left,right,,,,
tudu,above,below,,,,
tutu,behind,in front of,,,,
tuga,north,south,,,,
tukla,west,east,,,,
